0,Text,Label
" Write a program to print the multiplication table of a given number
","
num = 9
for i in range(1, 11):
   print(f""{num} x {i} = {num*i}"")


",1
" Write a program to print the multiplication table of a given number
","[' Write a program to print the multiplication table of a given number\n Concatenation  = sum(res) / len(vals)  \t  if sum == len(*args) else max(val) + 1  for sum in range(len(args))  (end = -1) \\n 1: ""1+"" \\ n 2: \'n\' -\' 3: \',n - 3:\')#\'\\n Recurgation = \',\' \\']",0
" Write a python function to print powers of 2, for given number of terms
","def two_power(terms):
    result = list(map(lambda x: 2 ** x, range(terms)))

    print(f""The total terms are: {terms}"")
    for i in range(terms):
       print(f""2^{i} = {result[i]}"")


",1
" Write a python function to print powers of 2, for given number of terms
","["" Write a python function to print powers of 2, for given number of terms\n of Eratosthenes'Error: dimensions of the two are NOT the same''''''')  \t  the sum of [0, 1, 2] is | \\, with a given repetition of 0 and \\n'.  for the other two terms, using a range of n (lambda x: \\se(x,\\,= 1) \\.  return (0 if""]",0
" Write a program to filter the numbers in a list which are divisible by a given number
","my_list = [11, 45, 74, 89, 132, 239, 721, 21]

num = 3
result = list(filter(lambda x: (x % num == 0), my_list))

print(f""Numbers divisible by {num} are {result}"")


",1
" Write a program to filter the numbers in a list which are divisible by a given number
","[' Write a program to filter the numbers in a list which are divisible by a given number\n  \t\t  print  end = "" "" +i. print_n(n)  # Note : The comma separated characters are NOTHIGITS  for the list in [1,2,4,5,6,7,8]  (lower = lower, upper = 1) ; for i in range(2) :  [3, 4, 6, 7']",0
" Write a python function that returns the sum of n natural numbers
","def sum_natural(num):
    if num < 0:
       print(""Please enter a positive number!"")
    else:
       sum = 0
       while(num > 0):
           sum += num
           num -= 1
       return num

",1
" Write a python function that returns the sum of n natural numbers
","["" Write a python function that returns the sum of n natural numbers\nciences of the two sides of a positive integer.   Defaults to the 2 sides. The value = 10.5. Set the values =.\\n'.  Return the value. Return 0.1. (The original values are:)) \t  #Example: [2,5,7,8]  Values = (1,2 + 1,3) [3,4,1]""]",0
" Write a program to swap first and last elements in a list
","my_list = [1, 2, 3, 4, 5, 6]
my_list[0], my_list[-1] = my_list[-1], my_list[0]


",1
" Write a program to swap first and last elements in a list
","["" Write a program to swap first and last elements in a list\ncbe(0,0)   and print the output. \t  #Other values = []  for reference  } \\n>0.\\n' as\\text\\''.'' '.--' is not a disarium number for which \\ n \\' ;' \\r> '.'.join(e for i in list1 in lists\\')  [ now ='- 1' #""]",0
" Write a python function to find the area of a circle, whose radius is given
","def findArea(r): 
    PI = 3.142
    return PI * (r*r)


",1
" Write a python function to find the area of a circle, whose radius is given
","[' Write a python function to find the area of a circle, whose radius is given\n \t\t   print(x, \', "", y, n))  # calculate the radius of the circle  = {2*3*1/2}  (x*2 - x = 1, which is {3 * 1/ 2} (y* 2*n - y = 2)  [0, 1] (n*0,-1, 2 * 3)']",0
" Write a program to print the sum of squares of first n natural numbers
","n = 21
sum_n = 0
for i in range(1, n+1):
    sum_n += i**2
print(sum_n)


",1
" Write a program to print the sum of squares of first n natural numbers
","[' Write a program to print the sum of squares of first n natural numbers\n | Python = |Logipse = 0.5.0}   for n in list_of_nums.  # Print the values are square of natural_number_sum. ---------------------------------------------------------  sum = sum + rec(n)  + (n - 1) for x in [1, 2, 3, 4, 5]  (List of N - N + 1 = ""']",0
" Write a program to print the length of a list
","my_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]

print(len(my_list))


",1
" Write a program to print the length of a list
","["" Write a program to print the length of a list\n burecase('ABC', 'D', 4),   and  return '8' if the list is empty. Otherwise '6'{'}'#4.\\n3. write a python program that prints the longest length list in the text. print() }'\\ n is the repetition of the input_string().  from the said list.  if n <= 0. else '2' # output""]",0
" Write a pythno function to print the length of a given tuple
","my_tuple = (1, 2, 3, 4, 5, 6, 7, 8)

print(len(my_tuple))


",1
" Write a pythno function to print the length of a given tuple
","["" Write a pythno function to print the length of a given tuple\n (n = 1) = n + 1   for n ≥ 0.  print(np.sqrt(len(tup) + np.cos(n - 1))  ) \\n' (def print aqueued tuple) ')  [7, 8, 9, 10]  with a length (2, 7, 6) in \\[7]\\n'.  '""]",0
" Write a python function to print the elements of a given list, one element in a line
","def custom_print(l):
    for _ in l:
        print(_)


",1
" Write a python function to print the elements of a given list, one element in a line
","[' Write a python function to print the elements of a given list, one element in a line\n   and print it \t  print(""Incorrect input"")  #Example: input, ""four digits: "", end=\'\')  for i in range(0, len(input)) :  input(""{:4}"", "": "" ---> "", i+1) #end=-- --) in | |  ending with open(filename) for y in input']",0
" Write a python function to remove all the odd numbers from a list and return the remaining list
","
def remove_odd(my_list):
    result = list(filter(lambda x: (x % 2 == 0), my_list))
    return result


",1
" Write a python function to remove all the odd numbers from a list and return the remaining list
","[' Write a python function to remove all the odd numbers from a list and return the remaining list\n of a number   of integers  2x + 3y = 0  #Example: [2x, 3x\', 1y]  =  1.0,\'\' = 3.x\'}  [3, {\', {\'1\', \'2y\', 3},  \'3\', [4, 5, 6]] ] \t  {""1\' :']",0
" Write a python function to remove all the even numbers from a list and return the remaining list
","
def remove_even(my_list):
    result = list(filter(lambda x: (x % 2 != 0), my_list))
    return result


",1
" Write a python function to remove all the even numbers from a list and return the remaining list
","["" Write a python function to remove all the even numbers from a list and return the remaining list\n \t\t   return -1, 1, 0, -2, 3 or 0]  (list1[i], list2[0], i) \\nList2:  [(1, 2), (2, 1), 2)]  '\\t\\ng Program to print the lines '' in between''*' and '+' '!\\w'""]",0
" Write a function that takes two lists as input and returns a zipped list of corresponding elements
","
def zip_list(list1, list2):
    return list(zip(list1, list2))


",1
" Write a function that takes two lists as input and returns a zipped list of corresponding elements
","["" Write a function that takes two lists as input and returns a zipped list of corresponding elements\n's Concatenation Consequence(A) = Conseq(B)   # 3.5 = 10  ( Yates' sequence = [2, 3, 4, 5]  for k, v in d.  [1, 2, 1] (S = {1} for i in {2} )  with {0, { cycle = 1} in the""]",0
" Write a program to to print the contents of a given file
","file_name = 'temp.txt'
with open(file_name, 'r') as f:
    print(f.read())


",1
" Write a program to to print the contents of a given file
","[' Write a program to to print the contents of a given file\nk Deks Dictionary.   """"""This is the output of the given function. \'\'\'\'Sorted file is: \',\'\')  for mm in range(0, size of each file).\'\'`\'*\'{}\' Output : \',\' \'*\'\'{\' : \'%o\',\'%u\' \\\'\\n\' \'. \'\\.\'{\', \'[\'^A\' ]']",0
" Write a functin that returns the LCM of two input numbers
","
def lcm(a, b):
    if a>b:
        min_ = a
    else:
        min_ = b
    while True:
        if min_%a==0 and min_%b==0:
            break
        min_+=1
    return min_


",1
" Write a functin that returns the LCM of two input numbers
","["" Write a functin that returns the LCM of two input numbers\n and radius for theta = 90.   order = {lambda x: x * x, y = 1, 2} order. input by input function. return {'AEIOUaeiou'}'  with a given radius function (for x in range(0, 100), 'LETTOU' or 'AEiOU': {7}'.format(AE iou) ')""]",0
" Write a program to print the unique elements in a list
","my_list = [1, 2, 4, 5, 2, 3, 1, 5, 4, 7, 8, 2, 4, 5, 2, 7, 3]

print(set(my_list))


",1
" Write a program to print the unique elements in a list
","["" Write a program to print the unique elements in a list\n=b'n (2,3) #{'A'}'#{2,'A',' B'iom}#'{3}/{{iom]}' #({'B'},({', 'C'}}')] ''{} follows/'  'D' }'' '/{1,2}{A}'.format(numbers,['A']}""]",0
" Write a function that returns the sum of digits of a given number
","def digisum(num):
    sum_=0
    while num > 0:
        dig = num % 10
        sum_+=dig
        num//=10
    return sum_


",1
" Write a function that returns the sum of digits of a given number
","[' Write a function that returns the sum of digits of a given number\n number = lambda x: x * x, n = 1, 1.ipynb()}\'  \t  the list after removing the 0th, 2nd, 4th columns in the tuple  {""Geeks""][""]: (2, ""Digits"", 5),"" for"","" in ""Goes""]\'][: "" | ""]{""}""  ""  for each digit in {']",0
" Write a program to check and print whether a number is palindrome or not
","
num = 12321
temp = num
rev = 0
while num > 0:
    dig = num % 10
    rev = rev*10 + dig
    num//=10
if temp==rev :
    print(""The number is a palindrome!"")
else:
    print(""The number isn't a palindrome!"")


",1
" Write a program to check and print whether a number is palindrome or not
","["" Write a program to check and print whether a number is palindrome or not\n \t\t   print(A, B, C))  and  (B,C, D)  for c in range(0,3,0-1):  # or '1' = 0, but '2'= 1 #  or '.3'+'{' '3': 3 }'# or # using a + c = 2 to print a pal ind""]",0
" Write a function that prints a given value, n number of times
","def print_n(val, n):
    for _ in range(n):
        print(val)


",1
" Write a function that prints a given value, n number of times
","["" Write a function that prints a given value, n number of times\n O(1) = O(\\n+1)/2 + 1.   N(n-1,n2),  \\n',  ',  'is ', 'best' for the given list of lists. Values given in list form(0, 1, 2) are: (2, 3, 4, 5, 6), (3, 8) \\x'\\n'', 'CS""]",0
" Write a function to find the area of sqaure
","def square_area(a):
    return a*a


",1
" Write a function to find the area of sqaure
","["" Write a function to find the area of sqaure\n with radius = 2 * radius ** 2 + (2 * PI)   for x in range(r, k) # To make use of PI, R =OHMERROR('TMK+1', 'TMKS')  against R  = - 1.0  M (x, -1) = (r*(x', 0) - 0.5 * r * dia/h*  or""]",0
" Write a function to find the perimeter of a square
","def square_perimeter(a):
    return 4*a

",1
" Write a function to find the perimeter of a square
","["" Write a function to find the perimeter of a square\n value of the square root of.08/09   else:  # \\nSATRUPPERCASE = \\ n >> 1 + (n >> 0) \\t\\nTie\\r PI = 3.  for n in range(0, len(B) <= a < 100) and (p, -p \\r') \\RATE = 1.5 / 0.0/0 ""]",0
" Write a function to find the area of rectangle
","def rectangle_area(l, b):
    return l*b

",1
" Write a function to find the area of rectangle
","[' Write a function to find the area of rectangle\nb E = (float(r) * power (r*surface_area) / (pow((1, n, 2)))   N = 1 \\n + 1)  # to obtain the side of the triangle  ""\\no"" (baseball""^tetra  )  \\n = ""^"" + woodl card_yard_both(""^"", ""&"", &"""")  print']",0
" Write a function to find the permieter of a rectangle
","def rectangle_perimeter(l, b):
    return 2*(l+b)

",1
" Write a function to find the permieter of a rectangle
","[' Write a function to find the permieter of a rectangle\n  with length lst.   Accept the size of the rectangle and print the area. OS: INT B() & OS = "",""  "",  P(n = 100)  for the bytes in the input string. Deleter of [size(t) = len(string.)]  # after flattening the old \'en\' line to 100 less  : M. Write \'\\n\'\\t\'']",0
" Write a python function to find the area of a circle, whose radius is given
","def findArea(r): 
    PI = 3.142
    return PI * (r*r)

",1
" Write a python function to find the area of a circle, whose radius is given
","[' Write a python function to find the area of a circle, whose radius is given\n  and print the vale for a radius of 3. The area given is 0.   print(""Given radius:"", said radius) \t\t  return -2*(2 *(Reverse(r+1)) [0]*A[i][n] -1] + ""  ""*""  (0/0)*AEI][m]  0']",0
" Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.
","
def calc_elect_bill(units):
    if units > 0:
        if units <= 750:
            return 5*units
        else:
            return 5*(750) + 7*(units-750)

    else:
        return -1


",1
" Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.
","[' Write a function to calculate and return electricity bill. Units used are given. Price per unit is fixed and is increased after 750 units.\n   is = (p * p * r)/{(p - r * t)) \\  for r in range(1,100) \\n Power of said number ={n}"".  with a given run-length. unit =\'= {n*(R)*R}\'  # so the rate of interest is {']",0
" Write a function to return day of a week, given the number
","def give_day(n):
    day_dict = {1: 'Sunday', 2: 'Monday', 3: 'Tuesday', 4: 'Wednesday', 5: 'Thursday', 6: 'Friday', 7: 'Saturday'}
    return day_dict[n]


",1
" Write a function to return day of a week, given the number
","["" Write a function to return day of a week, given the number\n number of *g = 0.5*(n*t) + 1.0*g*b = {}   # or else return 'No' # and leave the variable unchanged between 0 and return -1.  [(2, -2), -3, 0)]  for x in string\\n + s = 'Not' + (2. good * + (-3?))  return [""]",0
" Write a program to calculate and print the volume of a cylender
","r = 3
h = 5
pi = 3.14
volume = pi*(r**2)*h
print(volume)


",1
" Write a program to calculate and print the volume of a cylender
","[' Write a program to calculate and print the volume of a cylender\nchere = int(a)   #quartipse = [(1/2.0, 3.8)]  for axis in range(0,-1, 10) # To convert to round, add 0.5 in hexadeckel.  [Y/n - 1.6]  print(""9/5/0.3"", end = "" ""AEIOUaeiou""']",0
" Write a function to calculate and return the average of input numbers
","
def calc_avg(*args):
    if len(args) > 0:
        return sum(args)/len(args)
    return None


",1
" Write a function to calculate and return the average of input numbers
","["" Write a function to calculate and return the average of input numbers\n_f'ature*r' \\n' The average = (sqrt(2*c*t(d)/(n*d))   for n in [1,2,3,4,5]  print(ell(arr)  #\\n\\,\\w{2}'\\b=2 * \\xc'@'  Given these two numbers, write a program to print""]",0
" Write a function to calculate compound interest, given p, r, t
","def comp_int(p, r, t):
    amount = p * (1 + (r/100))**t
    interest = amount - p
    return interest


",1
" Write a function to calculate compound interest, given p, r, t
","["" Write a function to calculate compound interest, given p, r, t\n \t\t   if (p*r*t): =\\frac{if (r < 0)**2, 0] \\end='')  # calculating compound Interest, p=0, m/n = 0, n = 1  \\n + 1 # i = 2*m+1  for x, 2,n += 1 for y  in [2,3,4""]",0
" Write a function to calculate simple interest, given p, r, t
","def simp_int(p, r, t):
    interest = (p*r*t)/100
    return interest


",1
" Write a function to calculate simple interest, given p, r, t
","[' Write a function to calculate simple interest, given p, r, t\n initial angle  = initial_velocity*time/100 binary_interest = (principle *rate R)/tokens_time  \t  return -math.copay(prinkle ** 2) + TA  0.5*tens(time)  for k, n = 1, 0 = 0) / 100  (cms_profit*rate = -n + term']",0
" Write a program to print a given string, replacing all the vowels with '_'
","
st = ""Where is this going? Could you please help me understand!""
vowels = ""AEIOUaeiou""

for v in vowels:
    st = st.replace(v, '_')

print(st)


",1
" Write a program to print a given string, replacing all the vowels with '_'
","["" Write a program to print a given string, replacing all the vowels with '_'\n'# include in the input string  #'\\n'  in '\\b'{'}' \\n+1@' (string).title()'.format()).format(string)  #'2=#{$'/' in {'./' }'', '#='.format('*')'S' [(1, '+',',""]",0
" Write a functio to check whether a number if perfect or not
","def is_perfect(n):
    sum_ = 0
    for i in range(1, n//2 + 1):
        if n%i == 0:
            sum_+=i
    if sum_ == n:
        return True
    return False

",1
" Write a functio to check whether a number if perfect or not
","["" Write a functio to check whether a number if perfect or not\n.   Define a function is the item that can be rapped by the number. The function should return the sum of {0} and {1} with a given repetition of the input number.'. '. (punctio) = {'0'}' = 'S' and '1' {2' : '3' #ending' | '4' }'  ={""]",0
" Write a function that returns seperate lists of positive and negative numbers from an input list
","def seperate_pn(l):
    pos_list = []
    neg_list = []
    for _ in l:
        if _<0:
            neg_list.append(_)
        else:
            pos_list.append(_)
    return pos_list, neg_list


",1
" Write a function that returns seperate lists of positive and negative numbers from an input list
","[' Write a function that returns seperate lists of positive and negative numbers from an input list\n  list of lists. The list after removing is: [1,2,3,4,5,6,7,8,9,10]  \t  if (n > 0 or N > 1):  # how many ways the negative list is | | is a list.  return [n + n / len(list_list)]  for _ in l:  [']",0
" Write a program to find and print the area of a triangle, whose hight and width are given.
","
h = 12
w = 11
area = 0.5*h*w
print(area)


",1
" Write a program to find and print the area of a triangle, whose hight and width are given.
","[' Write a program to find and print the area of a triangle, whose hight and width are given.\ne values should be printed in a comma separated sequence on a single line.   ""\\n"" if the number of letters in the string are less than 2, then return ""underweight. "")"" for the letters to be given, ""%s"" (print"" in comma-separated pair. If the distance between letters is less then ""uppercase"":']",0
" Write a function to find acceleration, given u, v and t
","
def acc(u, v, t):
    return (v-u)/t

",1
" Write a function to find acceleration, given u, v and t
","["" Write a function to find acceleration, given u, v and t\n case:   [21,222, 333, 444, 555] + [11, 222, 225, 845, northwest]  [(1, 3, 10), (2, 4), 11, 324, 5)]  for i, 2, 15, 1, 0] [87, 300, N - N + 1] for j, {'S':,'O' : 'U'""]",0
" Write a lambda function to multiply two numbers
","
multiply = lambda a, b: a*b

",1
" Write a lambda function to multiply two numbers
","["" Write a lambda function to multiply two numbers\n of two number (both included).  \t  n = 0.5*n + 1.8*math.3*x + 0./math for x in l, m and n in [1, 2, 3, 4, 5, 6, 7, 8]  # Equivalent of the two inputs ('2', '1.1', 3.2' and '3.4', [5, 1, '""]",0
" Write a lambda function to add two numbers
","
add = lambda a, b: a+b

",1
" Write a lambda function to add two numbers
","[' Write a lambda function to add two numbers\n\\n Numbers = 1, 2, 3, 4, 5, 6, 7, 8, 9\\r"""""" returns the sum of two given numbers""""""   and returns their ranges "".""""  with a given number as the input text.  # Print the final string. ""It is an even number""""""\' #print the list is \'b\'{c\'#\'\\t\' }  for which is printed {c']",0
" Write a lambda function that gives True if the input number is even otherwise False
","
even = lambda a: True if a%2 == 0 else False

",1
" Write a lambda function that gives True if the input number is even otherwise False
","["" Write a lambda function that gives True if the input number is even otherwise False\n and False otherwise.   return False if no_of_lcase. else return True  and l CASE is:  K(len(num) = len(input_num);  for num in lCase: input_number = K() + 1  #Output = {'0' : {1': { '2'}' }' else : '1''#{'""]",0
" Write a lambda function to to give character grom it's ascii value
","
ascii = lambda a: chr(a)

",1
" Write a lambda function to to give character grom it's ascii value
","["" Write a lambda function to to give character grom it's ascii value\n f' of string' 'Inna fahuti'{'A','B'}'# With all letters letter in this string 'A', 'C' and 'D' as letters. 'E'},   # With letter 'F' in string, 'O' # Return the ASCII value of the string.'\\n'\\n'.\\d' {'""]",0
" Write a lambda function to that gives the number of digits in a number
","
dig_cnt = lambda a: len(str(a))

",1
" Write a lambda function to that gives the number of digits in a number
","[' Write a lambda function to that gives the number of digits in a number\n themars(x-1, x) -> "",   for x in the range(2, -x) \\n\'\'.join(map(lambda x: 2 * x, range (2 * 3))  with open(filename)) [input_list.upper() for filename.lower()]  [\\n\'.title forfilename.infile.filename infileupper().join()']",0
" Write a program to to check if a triangle is valid or not, given it's all three angles
","
def is_valid_triangle_angle(a, b c):
    if a+b+c == 180:
        return True
    return False

",1
" Write a program to to check if a triangle is valid or not, given it's all three angles
","["" Write a program to to check if a triangle is valid or not, given it's all three angles\ncues + triangle   = (x+y+z)/2  (32, -43, 0) \\n''.join (mat=l, gcd) # To makeB \\x{'triangle' : (val', -1)}' '\\n'.format(b,'', 'de', not',')  # ending with a '""]",0
" Write a program to to check if a triangle is valid or not, given it's all three sides' length
","
def is_valid_triangle_length(a, b c):
    if a>0 and b>0 and c>0:
        if a+b > c and a+c > b and b+c > a:
            return True
    return False

",1
" Write a program to to check if a triangle is valid or not, given it's all three sides' length
","[' Write a program to to check if a triangle is valid or not, given it\'s all three sides\' length\n the other two terms.   ""It is an even""  argument to make it suitable for the triangle. ""is"" = 2*(2+3) ** 0.5*i+1.6*+2.7*n*0.8+0)  for n ≥ 2 terms  (both included).  print(""No, its not']",0
" Write a lambda functio that gives the word count in a statement.
","
count_word = lambda s: len(s.split(' '))


",1
" Write a lambda functio that gives the word count in a statement.
","["" Write a lambda functio that gives the word count in a statement.\n  END='''S'  and print the result.  #Example: [1,2,3,4],#'['S',5,6,7]#  for i, 2, write a common letter (upper = 'e' and lower = 1) for x in string]  with a given character as 'E' in the string  (lower = - 1,""]",0
" Write a program to extract and print digits of a number in reverse order. The number is input from user.
","
num = int(input(""Enter a number with multiple digit: ""))
n=0
while num>0:
    a = num%10
    num = num - a
    num = num/10
    print(int(a),end="""")
    n = n + 1

",1
" Write a program to extract and print digits of a number in reverse order. The number is input from user.
","[' Write a program to extract and print digits of a number in reverse order. The number is input from user.\n=ABA.   Return the number of rows. Range(0,2,+1) --> 0, -1. (BASEI) - BISC. Return Rsecond_largest_num(num) for the list of row. Values = -5,-8. (-3,R) = 2,0. ---------------------------------------------------------1, --']",0
" Write a function that takes in height(m) and weight(kg), calculates BMI and prints the comments
","
def bmi(height: ""Meters"", weight: ""Kgs""):
    bmi = weight/(height**2) 
    print(""Your BMI is: {0} and you are "".format(bmi), end='')
    if ( bmi < 16):
       print(""severely underweight."")
    elif ( bmi >= 16 and bmi < 18.5):
       print(""underweight."")
    elif ( bmi >= 18.5 and bmi < 25):
       print(""healthy."")
    elif ( bmi >= 25 and bmi < 30):
       print(""overweight."")
    elif ( bmi >=30):
       print(""severely overweight."") 

",1
" Write a function that takes in height(m) and weight(kg), calculates BMI and prints the comments
","[' Write a function that takes in height(m) and weight(kg), calculates BMI and prints the comments\n   of the report.  Defaults to 10..  ""  is the overweight letter. \'"" is a given letter which occurs many times in the sentence. """"""\' is an overweight character. If the string ""b\' in \\ follows the letter: "" e = 6"" + code. ""{\' : "" }"".format(letter)  for the distance in']",0
" Write a program that prints all the alphabets in a string and skips all other characters
","
string = ""$john.snow#@Got.bad_ending/com""
for ch in string:
    if (ch>='A' and ch<='Z') or (ch>='a' and ch<='z'):
        print(ch, end='')
    else:
        pass

",1
" Write a program that prints all the alphabets in a string and skips all other characters
","["" Write a program that prints all the alphabets in a string and skips all other characters\nc = lambda a, b: a + b, 'except' (filter(lambda a: (a % 2 == 0), [1, 2, 3], OTP)   )  for the string in the list input string.  # To make the variable as comma-separated string, write comma after every 5th character. # Using list comprehension + [] for""]",0
" Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required
","
def hanoi(x):
    if x == 1:
        return 1
    else:
        return 2*hanoi(x-1) + 1

",1
" Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required
","[' Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required\n value for the purpose of storing data directory name   and name of the original tuple  with. Return the maximum number found at index {len( disks)}, and  {""Best"" : 10, ""Languages""): ""All""}  # using function for loop  to print names of {now} IO() for Helsly & grouper functions  in']",0
" Write a lambda function to convert centimeters to inches
","
cm_to_inch = lambda x: x/2.54

",1
" Write a lambda function to convert centimeters to inches
","[' Write a lambda function to convert centimeters to inches\n_float(fahrenheit) * 1.8 * the energy in kg/ft   #Angle = 0.5 * base * height  = 1/2 * radius \t  }  with a radius function which is called ""Curved"" function.  else ""Base + 32"". #Hence = input coordinates the area of a decimal number and/\\nDistance = sqrt(1 * distance/']",0
" Write a lambda function to find the union of two lists
","
union = lambda a, b: list(set(a)|set(b))

",1
" Write a lambda function to find the union of two lists
","["" Write a lambda function to find the union of two lists\n  = lambda x, y: x if ord(x) > ord('x'), else y' ''''}  \t  [1,2,3,4,5,6,7,8]  for x in l:  return x*x + y  # loop in range(1, inclusive)]  if (l1>l2[0], l2) <= l1[""]",0
" Write a lambda function to find the intersection of two lists
","
intersection = lambda a, b: list(set(a)&set(b))

",1
" Write a lambda function to find the intersection of two lists
","[' Write a lambda function to find the intersection of two lists\nSortedTuple(l1, l2)  and els(t1), t2   = (l2, m1) + l3, t1 + c) # sul(s1)=+s2+l3""\\n"", sul (s =+t2s) = (-l5*c, (-2*l) \\n), (-3*n); {']",0
" Write a program that adds the square of two numbers and prints it
","
a = 32
b = 21

result = a**2 + b**2
print(result)

",1
" Write a program that adds the square of two numbers and prints it
","[' Write a program that adds the square of two numbers and prints it\n  the number of words. The square formula is {sqrt(2 * root(i - 1))}"".format thesqr2, ""\\n"". format thesquare, using the "" + "" operator +"" operator.   #Example: input [2 - 2, 1, 2 * 2 = 1. Return [0 - i, 0]  for i in the | 0 - d : ]']",0
" Write a python function to concat the input strings and there's also a choice for seperator
","
def con_str(*args, sep = ' '):
  return sep.join(args)

",1
" Write a python function to concat the input strings and there's also a choice for seperator
","[' Write a python function to concat the input strings and there\'s also a choice for seperator\n Case: CASE, inputStr = \'P\'   and length = \', \'}  #StarmapetHR = ""(\\r) & \\n"" # repr\\n\'#\'vere\', \'#\', \'^\' and \'"" using the\'|\'+\'\'{}\' in inputString.  \'\\t\' #\' -range(']",0
