loc,v(g),ev(g),iv(g),v,l,d,i,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,Label
43,11,1,10,1290.59,0.07,14.56,88.65,1043.85,30,0,10,0,11,34,145,90,21,1
67,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
14,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
17,5,4,2,225.95,0.11,9,25.11,112.97,14,0,1,0,14,14,29,18,9,1
31,4,3,2,187.98,0.11,9,20.89,93.99,14,8,7,0,12,12,23,18,7,1
42,7,4,4,434.27,0.06,17.5,24.82,422.21,28,1,6,5,18,18,49,35,13,1
19,2,1,2,171.3,0.1,10,17.13,95.17,14,0,3,0,12,9,24,15,3,1
20,3,1,2,333.67,0.13,7.82,42.69,144.88,13,0,5,0,11,19,41,27,5,1
13,5,5,3,233.83,0.06,15.83,14.77,205.69,10,0,1,0,15,9,32,19,9,1
14,3,1,2,83.76,0.16,6.3,13.3,29.32,10,1,1,0,9,5,15,7,5,1
20,4,1,4,224.01,0.07,15.33,14.61,190.82,16,0,2,0,12,9,28,23,7,1
130,25,11,9,2813.49,0.02,49.5,56.84,7737.09,105,3,20,0,24,48,258,198,49,1
37,6,6,4,315.77,0.07,13.93,22.67,244.34,29,0,3,2,15,14,39,26,11,1
24,8,7,5,360,0.08,13.24,27.2,264.71,16,6,2,0,15,17,42,30,15,1
89,9,6,4,1275.89,0.03,33.21,38.41,2354.32,64,12,13,0,25,35,123,93,17,1
28,9,8,3,669.69,0.03,30.35,22.06,1129.29,23,0,3,0,24,17,82,43,17,1
91,11,11,9,1453.03,0.05,21.71,66.92,1752.86,61,13,15,0,19,42,149,96,21,1
42,6,5,5,653.44,0.12,8.67,75.4,314.62,39,0,1,0,12,36,65,52,11,1
74,8,3,6,1678.8,0.02,58.83,28.54,5486.59,65,0,5,1,23,26,166,133,11,1
33,4,4,3,335,0.07,14,23.93,260.56,23,3,5,0,16,16,39,28,7,1
96,11,4,9,1335.13,0.04,22.75,58.69,1687.46,75,4,13,2,18,36,141,91,21,1
6,1,1,1,25.85,0.67,1.5,17.23,2.15,4,0,0,0,3,3,7,3,1,1
9,3,3,2,95.91,0.14,7.07,13.56,37.68,6,0,1,0,11,7,14,9,5,1
21,7,7,3,404.24,0.07,13.93,29.01,312.91,18,0,1,0,11,15,48,38,13,1
113,19,1,10,2419.94,0.03,39.52,61.24,5312.46,99,0,12,0,16,33,268,163,37,1
5,1,1,1,34.87,0.4,2.5,13.95,4.84,3,0,0,0,5,4,7,4,1,1
7,2,1,2,48.43,0.23,4.38,11.07,11.77,5,0,0,0,7,4,9,5,3,1
43,4,1,3,708.28,0.06,17.86,39.66,702.66,30,0,11,0,15,21,87,50,7,1
63,12,1,8,920.78,0.05,19.73,46.68,1009.14,50,5,5,1,21,33,98,62,19,1
8,1,1,1,66.61,0.36,2.81,23.68,10.41,5,0,1,0,5,8,9,9,1,1
8,1,1,1,46.51,0.5,2,23.25,5.17,4,0,2,0,4,6,8,6,1,1
573,38,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1
104,13,5,10,1725.75,0.02,58.15,29.68,5575.35,77,7,9,6,25,23,202,107,25,1
77,8,5,5,1432.53,0.02,56.21,25.49,4473.53,60,3,7,2,24,19,175,89,15,1
39,4,1,4,579.03,0.07,13.57,42.69,436.37,28,0,8,0,13,23,64,48,7,1
30,4,3,2,589.62,0.04,26,22.68,851.67,19,1,4,3,26,18,72,36,7,1
79,7,1,6,771.67,0.07,15,51.44,643.06,35,18,16,7,13,26,86,60,13,1
240,40,6,34,7648.43,0.01,90.63,84.39,38510.78,144,55,31,8,38,87,683,415,74,1
86,12,1,2,789.8,0.05,18.38,42.98,806.25,70,0,14,0,24,32,87,49,13,1
82,15,1,14,1035.31,0.08,11.86,87.27,682.37,63,0,17,0,9,33,105,87,29,1
101,22,19,7,1679.16,0.02,54.08,31.05,5045.26,66,19,14,0,22,24,186,118,43,1
55,12,12,3,1198.01,0.03,34.15,35.08,2272.69,42,1,10,0,27,34,117,86,23,1
41,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
35,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
8,1,1,1,34.87,0.32,3.12,11.16,6.05,4,0,2,0,5,4,6,5,1,1
200,25,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
27,2,1,1,286.73,0.11,8.75,32.77,139.38,20,1,4,0,10,16,33,28,3,1
32,3,1,2,385.83,0.09,11.2,34.44,240.17,24,0,6,0,17,22,44,29,4,1
41,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
165,16,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
23,4,1,3,254.79,0.08,12.12,21.03,171.49,18,0,2,0,15,13,32,21,7,1
16,3,3,2,199.71,0.09,11.64,17.16,129.1,12,0,2,0,16,11,26,16,5,1
54,7,1,7,770.29,0.04,27.2,28.32,1164,48,0,4,0,12,15,94,68,13,1
31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,1,1,1,289.89,0.11,9.38,30.92,150.99,9,0,4,0,9,12,41,25,1,1
7,1,1,1,89.95,0.14,7,12.85,34.98,5,0,0,0,7,4,18,8,1,1
31,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
81,24,18,2,1253.47,0.02,49.24,25.46,3428.8,77,0,2,0,22,21,137,94,47,1
27,8,7,3,344.92,0.05,18.42,18.73,352.9,19,0,6,0,17,12,45,26,15,1
164,5,1,5,5427.5,0.03,37.4,145.12,11277.54,145,1,16,0,15,76,455,379,9,1
116,2,1,1,3339,0.06,17.82,187.35,3305.94,91,0,23,0,16,101,261,225,3,1
56,5,1,5,1429.48,0.05,20.09,71.14,1595.7,45,0,9,0,16,43,135,108,9,1
60,8,5,3,866.52,0.03,32.1,26.99,1545.49,45,5,8,0,23,24,89,67,15,1
36,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
184,9,7,1,4662.45,0.03,35.93,129.78,9305.55,140,13,29,0,19,87,364,329,17,1
469,2,1,2,8191.57,0.02,43.85,186.83,19953.83,283,130,47,7,16,104,616,570,3,1
242,3,3,3,9296.92,0.03,29.78,312.17,15382.18,169,19,52,0,18,165,691,546,5,1
96,1,1,1,2828.78,0.05,18.75,150.87,2946.64,68,12,14,0,10,56,258,210,1,1
463,94,52,68,12727.36,0.01,71.81,177.24,50774.76,393,34,34,0,26,126,1060,696,187,1
169,5,1,5,5466.14,0.03,38.3,142.72,11630.73,151,1,15,0,15,75,459,383,9,1
221,1,1,1,9691.75,0.03,29.66,326.75,15970.24,170,2,47,0,11,112,792,604,1,1
95,22,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1
85,4,1,3,1612.73,0.02,45.85,35.17,4107.97,68,0,15,0,14,20,186,131,7,1
113,1,1,1,3427.34,0.05,18.37,186.54,3498.34,95,0,16,0,8,59,294,271,1,1
91,2,1,2,1624.46,0.07,14.34,113.29,1294.04,46,19,24,0,14,62,133,127,3,1
22,3,1,3,307.71,0.13,8,38.46,136.76,16,0,4,0,12,21,33,28,5,1
57,7,5,3,970.74,0.03,36.5,26.6,1968.45,40,6,8,1,25,25,99,73,13,1
22,2,1,2,317.29,0.1,9.71,32.68,171.09,16,0,4,0,11,17,36,30,3,1
22,2,1,2,320.63,0.11,9.17,34.98,163.28,16,0,4,0,11,18,36,30,3,1
163,5,1,5,5479.79,0.03,37.21,147.28,11327.28,145,1,15,0,15,77,458,382,9,1
166,1,1,1,734.53,0.18,5.47,134.31,223.17,145,1,18,0,5,32,71,70,1,1
15,1,1,1,135.93,0.29,3.46,39.27,26.14,11,0,2,0,6,13,17,15,1,1
41,5,3,3,593.15,0.09,10.98,54.01,361.92,32,1,6,0,13,29,61,49,9,1
61,26,24,8,1795.19,0.03,32.09,55.94,3200.72,41,8,10,0,23,43,177,120,51,1
56,6,5,2,855.41,0.03,33.39,25.62,1586.84,38,5,11,0,24,23,90,64,11,1
55,6,1,6,757.99,0.04,26.35,28.76,1109.74,38,9,6,0,14,17,89,64,11,1
415,9,1,8,15427.18,0.02,55.06,280.16,47194.17,384,2,27,0,19,162,1118,939,17,1
43,2,1,2,734.43,0.1,9.73,75.51,396.83,25,1,9,6,9,31,71,67,3,1
21,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
50,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
163,5,1,5,5466.14,0.03,38.3,142.72,11630.73,145,1,15,0,15,75,459,383,9,1
